# ID,targets
0,4
1,4
2,4
3,1
4,7
5,8
6,5
7,2
8,8
9,3
10,2
11,8
12,1
13,1
14,2
15,7
16,2
17,7
18,8
19,0
20,9
21,4
22,2
23,3
24,8
25,8
26,2
27,3
28,2
29,9
30,3
31,6
32,4
33,8
34,3
35,1
36,9
37,3
38,9
39,7
40,8
41,8
42,8
43,3
44,0
45,5
46,2
47,5
48,9
49,3
50,8
51,7
52,1
53,1
54,4
55,0
56,3
57,7
58,2
59,6
60,1
61,3
62,8
63,7
64,6
65,2
66,5
67,2
68,4
69,6
70,0
71,9
72,9
73,0
74,1
75,6
76,1
77,7
78,1
79,0
80,8
81,9
82,7
83,1
84,1
85,9
86,5
87,1
88,5
89,4
90,1
91,2
92,0
93,1
94,9
95,1
96,1
97,2
98,1
99,7
100,9
101,0
102,0
103,9
104,7
105,2
106,4
107,6
108,8
109,4
110,2
111,1
112,0
113,3
114,7
115,2
116,8
117,1
118,6
119,3
120,0
121,0
122,0
123,5
124,7
125,7
126,8
127,5
128,8
129,2
130,7
131,9
132,2
133,5
134,0
135,2
136,3
137,5
138,2
139,0
140,5
141,9
142,1
143,5
144,0
145,8
146,8
147,9
148,0
149,5
150,4
151,6
152,0
153,5
154,1
155,4
156,6
157,3
158,3
159,3
160,8
161,5
162,2
163,0
164,8
165,9
166,1
167,6
168,7
169,6
170,4
171,7
172,4
173,3
174,4
175,8
176,8
177,0
178,4
179,4
180,0
181,9
182,6
183,7
184,8
185,2
186,0
187,3
188,4
189,9
190,4
191,7
192,5
193,7
194,5
195,2
196,3
197,5
198,0
199,3
200,1
201,5
202,0
203,7
204,7
205,3
206,4
207,7
208,7
209,8
210,4
211,9
212,6
213,7
214,8
215,0
216,3
217,1
218,2
219,3
220,0
221,8
222,1
223,1
224,8
225,0
226,6
227,9
228,8
229,0
230,3
231,3
232,8
233,1
234,8
235,9
236,3
237,5
238,7
239,9
240,2
241,1
242,2
243,3
244,7
245,6
246,2
247,0
248,6
249,3
250,7
251,9
252,9
253,8
254,3
255,2
256,4
257,6
258,9
259,4
260,2
261,2
262,7
263,4
264,4
265,8
266,1
267,4
268,1
269,4
270,5
271,9
272,0
273,3
274,5
275,1
276,7
277,1
278,1
279,6
280,7
281,8
282,6
283,8
284,1
285,4
286,6
287,4
288,5
289,5
290,2
291,8
292,6
293,0
294,8
295,6
296,7
297,0
298,7
299,6
300,1
301,7
302,3
303,5
304,0
305,3
306,0
307,4
308,7
309,7
310,7
311,6
312,3
313,3
314,5
315,2
316,9
317,8
318,9
319,8
320,2
321,6
322,1
323,9
324,7
325,6
326,2
327,8
328,2
329,6
330,8
331,3
332,3
333,8
334,2
335,6
336,8
337,4
338,2
339,7
340,3
341,7
342,1
343,3
344,4
345,7
346,9
347,8
348,8
349,7
350,5
351,9
352,4
353,9
354,6
355,8
356,2
357,5
358,6
359,4
360,8
361,5
362,7
363,5
364,1
365,1
366,5
367,3
368,0
369,4
370,6
371,9
372,3
373,6
374,0
375,6
376,0
377,5
378,0
379,4
380,6
381,3
382,7
383,1
384,4
385,8
386,3
387,4
388,7
389,8
390,0
391,2
392,7
393,1
394,1
395,8
396,4
397,8
398,2
399,1
400,0
401,0
402,5
403,5
404,9
405,4
406,0
407,2
408,9
409,6
410,9
411,9
412,9
413,1
414,0
415,6
416,1
417,9
418,9
419,8
420,1
421,8
422,2
423,3
424,8
425,2
426,2
427,2
428,2
429,1
430,6
431,1
432,0
433,6
434,0
435,4
436,8
437,3
438,4
439,5
440,8
441,6
442,0
443,0
444,7
445,8
446,0
447,8
448,0
449,6
450,3
451,0
452,4
453,3
454,9
455,1
456,5
457,0
458,7
459,5
460,3
461,9
462,6
463,1
464,2
465,8
466,8
467,7
468,6
469,7
470,4
471,9
472,7
473,1
474,8
475,3
476,7
477,6
478,1
479,4
480,8
481,8
482,8
483,6
484,8
485,7
486,5
487,6
488,1
489,5
490,3
491,0
492,6
493,0
494,7
495,3
496,2
497,7
498,0
499,1
500,9
501,6
502,9
503,7
504,7
505,3
506,1
507,4
508,6
509,2
510,7
511,5
512,9
513,2
514,8
515,8
516,0
517,6
518,8
519,1
520,2
521,9
522,0
523,9
524,9
525,9
526,7
527,3
528,0
529,2
530,5
531,1
532,7
533,0
534,1
535,1
536,4
537,1
538,7
539,5
540,7
541,2
542,1
543,7
544,1
545,8
546,5
547,8
548,2
549,1
550,0
551,1
552,6
553,3
554,9
555,9
556,1
557,1
558,7
559,8
560,6
561,5
562,4
563,3
564,3
565,7
566,4
567,3
568,2
569,0
570,6
571,4
572,4
573,6
574,1
575,2
576,9
577,8
578,1
579,8
580,7
581,1
582,2
583,8
584,6
585,2
586,1
587,4
588,3
589,1
590,0
591,9
592,3
593,0
594,4
595,1
596,6
597,5
598,9
599,2
600,5
601,4
602,5
603,7
604,1
605,5
606,7
607,5
608,3
609,1
610,9
611,5
612,6
613,3
614,9
615,1
616,6
617,7
618,5
619,6
620,8
621,5
622,1
623,4
624,6
625,5
626,6
627,1
628,2
629,2
630,7
631,0
632,7
633,6
634,3
635,5
636,8
637,9
638,1
639,1
640,6
641,0
642,8
643,6
644,7
645,6
646,9
647,4
648,1
649,0
650,3
651,8
652,5
653,6
654,9
655,4
656,5
657,2
658,2
659,2
660,3
661,6
662,6
663,0
664,7
665,7
666,9
667,8
668,6
669,2
670,3
671,1
672,7
673,5
674,3
675,3
676,3
677,0
678,4
679,3
680,7
681,5
682,1
683,5
684,9
685,3
686,0
687,1
688,8
689,1
690,9
691,7
692,1
693,0
694,0
695,2
696,2
697,8
698,3
699,1
700,1
701,2
702,1
703,3
704,1
705,1
706,7
707,6
708,8
709,3
710,4
711,9
712,6
713,1
714,2
715,7
716,6
717,1
718,6
719,8
720,3
721,2
722,6
723,3
724,0
725,4
726,3
727,7
728,7
729,5
730,4
731,2
732,6
733,3
734,7
735,9
736,3
737,1
738,8
739,9
740,5
741,1
742,0
743,1
744,1
745,3
746,3
747,8
748,4
749,0
750,1
751,5
752,4
753,5
754,0
755,3
756,4
757,1
758,4
759,1
760,0
761,4
762,3
763,0
764,9
765,1
766,0
767,3
768,8
769,5
770,5
771,3
772,4
773,0
774,6
775,3
776,0
777,9
778,1
779,1
780,2
781,5
782,3
783,0
784,8
785,1
786,5
787,2
788,1
789,3
790,3
791,3
792,3
793,1
794,0
795,7
796,4
797,6
798,8
799,2
800,9
801,4
802,9
803,8
804,7
805,9
806,6
807,2
808,1
809,3
810,6
811,7
812,5
813,9
814,1
815,6
816,3
817,0
818,7
819,9
820,4
821,0
822,8
823,7
824,1
825,8
826,3
827,3
828,5
829,2
830,3
831,3
832,9
833,3
834,0
835,6
836,5
837,5
838,8
839,8
840,4
841,8
842,0
843,0
844,1
845,8
846,7
847,5
848,1
849,2
850,2
851,2
852,1
853,3
854,3
855,2
856,4
857,2
858,6
859,5
860,7
861,9
862,9
863,5
864,0
865,9
866,8
867,0
868,4
869,2
870,2
871,8
872,5
873,4
874,0
875,8
876,3
877,4
878,5
879,6
880,7
881,3
882,2
883,4
884,0
885,2
886,6
887,1
888,1
889,0
890,2
891,3
892,4
893,0
894,0
895,7
896,9
897,5
898,1
899,1
900,7
901,0
902,1
903,5
904,1
905,0
906,8
907,0
908,5
909,3
910,0
911,3
912,3
913,8
914,5
915,2
916,7
917,3
918,2
919,5
920,5
921,0
922,5
923,4
924,1
925,7
926,0
927,3
928,1
929,1
930,3
931,2
932,6
933,7
934,0
935,3
936,0
937,8
938,8
939,3
940,5
941,0
942,1
943,0
944,3
945,2
946,3
947,8
948,0
949,0
950,2
951,5
952,6
953,4
954,3
955,0
956,9
957,2
958,1
959,2
960,1
961,6
962,2
963,3
964,8
965,0
966,1
967,8
968,8
969,2
970,6
971,7
972,7
973,2
974,5
975,1
976,7
977,5
978,1
979,6
980,1
981,5
982,9
983,5
984,3
985,1
986,4
987,4
988,6
989,7
990,3
991,6
992,7
993,8
994,3
995,4
996,3
997,6
998,6
999,0
1000,6
1001,4
1002,1
1003,7
1004,9
1005,9
1006,2
1007,8
1008,3
1009,2
1010,1
1011,3
1012,0
1013,9
1014,0
1015,0
1016,6
1017,1
1018,0
1019,1
1020,7
1021,0
1022,3
1023,7
1024,1
1025,3
1026,3
1027,0
1028,3
1029,1
1030,4
1031,0
1032,1
1033,5
1034,5
1035,9
1036,3
1037,8
1038,7
1039,7
1040,9
1041,5
1042,7
1043,9
1044,6
1045,6
1046,4
1047,8
1048,1
1049,6
1050,4
1051,7
1052,3
1053,1
1054,7
1055,1
1056,6
1057,9
1058,9
1059,1
1060,6
1061,9
1062,3
1063,2
1064,5
1065,0
1066,2
1067,1
1068,1
1069,1
1070,0
1071,7
1072,4
1073,4
1074,9
1075,1
1076,7
1077,7
1078,5
1079,9
1080,6
1081,3
1082,1
1083,9
1084,8
1085,8
1086,3
1087,8
1088,3
1089,6
1090,6
1091,7
1092,7
1093,2
1094,2
1095,5
1096,3
1097,4
1098,5
1099,5
1100,4
1101,1
1102,9
1103,3
1104,1
1105,3
1106,9
1107,0
1108,6
1109,1
1110,9
1111,7
1112,6
1113,2
1114,7
1115,7
1116,9
1117,7
1118,5
1119,1
1120,1
1121,4
1122,6
1123,1
1124,8
1125,1
1126,3
1127,0
1128,7
1129,1
1130,0
1131,8
1132,0
1133,5
1134,1
1135,1
1136,7
1137,7
1138,3
1139,1
1140,6
1141,0
1142,1
1143,7
1144,1
1145,2
1146,0
1147,4
1148,6
1149,1
1150,1
1151,6
1152,6
1153,1
1154,2
1155,8
1156,8
1157,8
1158,5
1159,5
1160,8
1161,9
1162,7
1163,9
1164,2
1165,9
1166,6
1167,8
1168,8
1169,7
1170,9
1171,7
1172,6
1173,0
1174,5
1175,5
1176,2
1177,9
1178,2
1179,1
1180,1
1181,5
1182,9
1183,9
1184,1
1185,6
1186,6
1187,4
1188,4
1189,3
1190,2
1191,1
1192,4
1193,2
1194,8
1195,7
1196,7
1197,0
1198,8
1199,2
1200,5
1201,8
1202,2
1203,2
1204,4
1205,9
1206,1
1207,0
1208,4
1209,9
1210,8
1211,0
1212,0
1213,3
1214,4
1215,6
1216,6
1217,0
1218,7
1219,2
1220,1
1221,3
1222,7
1223,2
1224,6
1225,2
1226,6
1227,4
